
This file contains histograms of the latencies observed for each data point test. 
Each data point test used a fixed number of outstanding small and large I/Os.
For each data point, histograms are printed for the latencies of small reads, small writes, large reads, and large writes. 
The bucket sizes of the histogram are specified in microseconds and range from 1 microsecond to 134 seconds. 
The value specifies the number of I/Os that were observed within the bucket's latency range. 


Latency Histogram for small IOs @ Small=1 and Large=0
	Latency:		# of IOs (read) 	 # of IOs (write) 
        0 - 1		us:		0			0
        2 - 4		us:		0			0
        4 - 8		us:		0			0
        8 - 16		us:		0			0
       16 - 32		us:		0			0
       32 - 64		us:		74457			0
       64 - 128		us:		388370			0
      128 - 256		us:		41791			0
      256 - 512		us:		29097			0
      512 - 1024	us:		5830			0
     1024 - 2048	us:		413			0
     2048 - 4096	us:		184			0
     4096 - 8192	us:		144			0
     8192 - 16384	us:		35			0
    16384 - 32768	us:		27			0
    32768 - 65536	us:		9			0
    65536 - 131072	us:		0			0
   131072 - 262144	us:		0			0
   262144 - 524288	us:		1			0
   524288 - 1048576	us:		0			0
  1048576 - 2097152	us:		0			0
  2097152 - 4194304	us:		0			0
  4194304 - 8388608	us:		0			0
  8388608 - 16777216	us:		0			0
 16777216 - 33554432	us:		0			0
 33554432 - 67108864	us:		0			0
 67108864 - 134217728	us:		0			0
134217728 - 268435456	us:		0			0

Latency Histogram for small IOs @ Small=2 and Large=0
	Latency:		# of IOs (read) 	 # of IOs (write) 
        0 - 1		us:		0			0
        2 - 4		us:		0			0
        4 - 8		us:		0			0
        8 - 16		us:		0			0
       16 - 32		us:		0			0
       32 - 64		us:		58629			0
       64 - 128		us:		744437			0
      128 - 256		us:		107335			0
      256 - 512		us:		55520			0
      512 - 1024	us:		13445			0
     1024 - 2048	us:		596			0
     2048 - 4096	us:		219			0
     4096 - 8192	us:		135			0
     8192 - 16384	us:		10			0
    16384 - 32768	us:		0			0
    32768 - 65536	us:		0			0
    65536 - 131072	us:		0			0
   131072 - 262144	us:		0			0
   262144 - 524288	us:		0			0
   524288 - 1048576	us:		0			0
  1048576 - 2097152	us:		0			0
  2097152 - 4194304	us:		0			0
  4194304 - 8388608	us:		0			0
  8388608 - 16777216	us:		0			0
 16777216 - 33554432	us:		0			0
 33554432 - 67108864	us:		0			0
 67108864 - 134217728	us:		0			0
134217728 - 268435456	us:		0			0

Latency Histogram for small IOs @ Small=3 and Large=0
	Latency:		# of IOs (read) 	 # of IOs (write) 
        0 - 1		us:		0			0
        2 - 4		us:		0			0
        4 - 8		us:		0			0
        8 - 16		us:		0			0
       16 - 32		us:		0			0
       32 - 64		us:		98661			0
       64 - 128		us:		1235608			0
      128 - 256		us:		178148			0
      256 - 512		us:		41620			0
      512 - 1024	us:		17342			0
     1024 - 2048	us:		1138			0
     2048 - 4096	us:		476			0
     4096 - 8192	us:		236			0
     8192 - 16384	us:		3			0
    16384 - 32768	us:		0			0
    32768 - 65536	us:		0			0
    65536 - 131072	us:		0			0
   131072 - 262144	us:		0			0
   262144 - 524288	us:		0			0
   524288 - 1048576	us:		0			0
  1048576 - 2097152	us:		0			0
  2097152 - 4194304	us:		0			0
  4194304 - 8388608	us:		0			0
  8388608 - 16777216	us:		0			0
 16777216 - 33554432	us:		0			0
 33554432 - 67108864	us:		0			0
 67108864 - 134217728	us:		0			0
134217728 - 268435456	us:		0			0

Latency Histogram for small IOs @ Small=4 and Large=0
	Latency:		# of IOs (read) 	 # of IOs (write) 
        0 - 1		us:		0			0
        2 - 4		us:		0			0
        4 - 8		us:		0			0
        8 - 16		us:		0			0
       16 - 32		us:		0			0
       32 - 64		us:		134684			0
       64 - 128		us:		1621456			0
      128 - 256		us:		305730			0
      256 - 512		us:		40993			0
      512 - 1024	us:		18213			0
     1024 - 2048	us:		1210			0
     2048 - 4096	us:		447			0
     4096 - 8192	us:		430			0
     8192 - 16384	us:		12			0
    16384 - 32768	us:		0			0
    32768 - 65536	us:		0			0
    65536 - 131072	us:		0			0
   131072 - 262144	us:		0			0
   262144 - 524288	us:		0			0
   524288 - 1048576	us:		0			0
  1048576 - 2097152	us:		0			0
  2097152 - 4194304	us:		0			0
  4194304 - 8388608	us:		0			0
  8388608 - 16777216	us:		0			0
 16777216 - 33554432	us:		0			0
 33554432 - 67108864	us:		0			0
 67108864 - 134217728	us:		0			0
134217728 - 268435456	us:		0			0

Latency Histogram for small IOs @ Small=5 and Large=0
	Latency:		# of IOs (read) 	 # of IOs (write) 
        0 - 1		us:		0			0
        2 - 4		us:		0			0
        4 - 8		us:		0			0
        8 - 16		us:		0			0
       16 - 32		us:		0			0
       32 - 64		us:		63016			0
       64 - 128		us:		1969998			0
      128 - 256		us:		451708			0
      256 - 512		us:		40892			0
      512 - 1024	us:		20029			0
     1024 - 2048	us:		2455			0
     2048 - 4096	us:		1145			0
     4096 - 8192	us:		627			0
     8192 - 16384	us:		5			0
    16384 - 32768	us:		0			0
    32768 - 65536	us:		0			0
    65536 - 131072	us:		0			0
   131072 - 262144	us:		0			0
   262144 - 524288	us:		0			0
   524288 - 1048576	us:		0			0
  1048576 - 2097152	us:		0			0
  2097152 - 4194304	us:		0			0
  4194304 - 8388608	us:		0			0
  8388608 - 16777216	us:		0			0
 16777216 - 33554432	us:		0			0
 33554432 - 67108864	us:		0			0
 67108864 - 134217728	us:		0			0
134217728 - 268435456	us:		0			0

Latency Histogram for large IOs @ Small=0 and Large=1
	Latency:		# of IOs (read) 	 # of IOs (write) 
        0 - 1		us:		0			0
        2 - 4		us:		0			0
        4 - 8		us:		0			0
        8 - 16		us:		0			0
       16 - 32		us:		0			0
       32 - 64		us:		0			0
       64 - 128		us:		0			0
      128 - 256		us:		1665			0
      256 - 512		us:		62431			0
      512 - 1024	us:		48326			0
     1024 - 2048	us:		1324			0
     2048 - 4096	us:		239			0
     4096 - 8192	us:		143			0
     8192 - 16384	us:		1			0
    16384 - 32768	us:		0			0
    32768 - 65536	us:		0			0
    65536 - 131072	us:		0			0
   131072 - 262144	us:		0			0
   262144 - 524288	us:		0			0
   524288 - 1048576	us:		0			0
  1048576 - 2097152	us:		0			0
  2097152 - 4194304	us:		0			0
  4194304 - 8388608	us:		0			0
  8388608 - 16777216	us:		0			0
 16777216 - 33554432	us:		0			0
 33554432 - 67108864	us:		0			0
 67108864 - 134217728	us:		0			0
134217728 - 268435456	us:		0			0

Latency Histogram for small IOs @ Small=1 and Large=1
	Latency:		# of IOs (read) 	 # of IOs (write) 
        0 - 1		us:		0			0
        2 - 4		us:		0			0
        4 - 8		us:		0			0
        8 - 16		us:		0			0
       16 - 32		us:		0			0
       32 - 64		us:		27701			0
